system:index,date,id,instrument_mode,lat,lon,look_angle,orbit_number,orbit_pass,platform,polarization,relative_orbit,resolution,slice_number,timestamp,.geo
S1A_IW_GRDH_1SDV_20150220T224959_20150220T225022_004713_005D3A_9B50,2015-02-20 22:49:59,S1A_IW_GRDH_1SDV_20150220T224959_20150220T225022_004713_005D3A_9B50,IW,22.404538448271513,106.07364596345658,,4713.0,DESCENDING,A,"[VV, VH]",91.0,10.0,19.0,1424472599500,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150304T225003_20150304T225032_004888_00617D_2AAA,2015-03-04 22:50:03,S1A_IW_GRDH_1SDV_20150304T225003_20150304T225032_004888_00617D_2AAA,IW,21.931229534444714,106.03668966379834,,4888.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1425509403380,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150328T225004_20150328T225033_005238_0069D9_0ED8,2015-03-28 22:50:04,S1A_IW_GRDH_1SDV_20150328T225004_20150328T225033_005238_0069D9_0ED8,IW,21.926642168392238,106.0361811137687,,5238.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1427583004180,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150421T225004_20150421T225033_005588_00726B_C37C,2015-04-21 22:50:04,S1A_IW_GRDH_1SDV_20150421T225004_20150421T225033_005588_00726B_C37C,IW,21.926879241477536,106.0370345142909,,5588.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1429656604770,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150515T225006_20150515T225035_005938_007A63_A9D7,2015-05-15 22:50:06,S1A_IW_GRDH_1SDV_20150515T225006_20150515T225035_005938_007A63_A9D7,IW,21.926473649137765,106.03676156903019,,5938.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1431730206190,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150527T224948_20150527T225013_006113_007EF8_7645,2015-05-27 22:49:48,S1A_IW_GRDH_1SDV_20150527T224948_20150527T225013_006113_007EF8_7645,IW,23.193279453938178,106.27166335041413,,6113.0,DESCENDING,A,"[VV, VH]",91.0,10.0,14.0,1432766988670,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150608T224949_20150608T225014_006288_0083F5_75A5,2015-06-08 22:49:49,S1A_IW_GRDH_1SDV_20150608T224949_20150608T225014_006288_0083F5_75A5,IW,23.193209153338085,106.27281129396593,,6288.0,DESCENDING,A,"[VV, VH]",91.0,10.0,14.0,1433803789430,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150618T105758_20150618T105823_006427_0087E6_0362,2015-06-18 10:57:58,S1A_IW_GRDH_1SDV_20150618T105758_20150618T105823_006427_0087E6_0362,IW,22.8061008349295,107.02427741246218,,6427.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1434625078310,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150630T105759_20150630T105827_006602_008CCA_2C02,2015-06-30 10:57:59,S1A_IW_GRDH_1SDV_20150630T105759_20150630T105827_006602_008CCA_2C02,IW,22.891751449361855,107.02204107797733,,6602.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1435661879340,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150712T105758_20150712T105832_006777_0091A0_1ED8,2015-07-12 10:57:58,S1A_IW_GRDH_1SDV_20150712T105758_20150712T105832_006777_0091A0_1ED8,IW,23.058484643628084,106.98728705127067,,6777.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1436698678740,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150724T105759_20150724T105824_006952_00969F_7BF6,2015-07-24 10:57:59,S1A_IW_GRDH_1SDV_20150724T105759_20150724T105824_006952_00969F_7BF6,IW,22.80634335569805,107.02335070838281,,6952.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1437735479660,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20150910T105801_20150910T105830_007652_00A9D3_4921,2015-09-10 10:58:01,S1A_IW_GRDH_1SDV_20150910T105801_20150910T105830_007652_00A9D3_4921,IW,22.89200190686333,107.02279595755913,,7652.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1441882681940,"{""type"":""MultiPoint"",""coordinates"":[]}"
