system:index,date,id,instrumentMode,lookAngle,orbit,platform,polarization,relativeOrbit,resolution,sliceNumber,.geo
S1A_IW_GRDH_1SDV_20250601T105827_20250601T105852_059452_07614D_54B9,2025-06-01 10:58:27,S1A_IW_GRDH_1SDV_20250601T105827_20250601T105852_059452_07614D_54B9,IW,,ASCENDING,A,"[VV, VH]",55.0,10.0,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20250601T105852_20250601T105917_059452_07614D_53FB,2025-06-01 10:58:52,S1A_IW_GRDH_1SDV_20250601T105852_20250601T105917_059452_07614D_53FB,IW,,ASCENDING,A,"[VV, VH]",55.0,10.0,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20250603T225038_20250603T225107_059488_076286_68F7,2025-06-03 22:50:38,S1A_IW_GRDH_1SDV_20250603T225038_20250603T225107_059488_076286_68F7,IW,,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20250615T225037_20250615T225107_059663_07687E_5D78,2025-06-15 22:50:37,S1A_IW_GRDH_1SDV_20250615T225037_20250615T225107_059663_07687E_5D78,IW,,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20250627T225037_20250627T225106_059838_076E90_0AE0,2025-06-27 22:50:37,S1A_IW_GRDH_1SDV_20250627T225037_20250627T225106_059838_076E90_0AE0,IW,,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20250707T105825_20250707T105850_059977_077363_7BE9,2025-07-07 10:58:25,S1A_IW_GRDH_1SDV_20250707T105825_20250707T105850_059977_077363_7BE9,IW,,ASCENDING,A,"[VV, VH]",55.0,10.0,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20250707T105850_20250707T105915_059977_077363_E907,2025-07-07 10:58:50,S1A_IW_GRDH_1SDV_20250707T105850_20250707T105915_059977_077363_E907,IW,,ASCENDING,A,"[VV, VH]",55.0,10.0,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20250709T225036_20250709T225105_060013_0774A0_071B,2025-07-09 22:50:36,S1A_IW_GRDH_1SDV_20250709T225036_20250709T225105_060013_0774A0_071B,IW,,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20250712T110650_20250712T110715_060050_0775EC_4950,2025-07-12 11:06:50,S1A_IW_GRDH_1SDV_20250712T110650_20250712T110715_060050_0775EC_4950,IW,,ASCENDING,A,"[VV, VH]",128.0,10.0,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20250719T105824_20250719T105849_060152_077968_1A66,2025-07-19 10:58:24,S1A_IW_GRDH_1SDV_20250719T105824_20250719T105849_060152_077968_1A66,IW,,ASCENDING,A,"[VV, VH]",55.0,10.0,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20250719T105849_20250719T105914_060152_077968_4596,2025-07-19 10:58:49,S1A_IW_GRDH_1SDV_20250719T105849_20250719T105914_060152_077968_4596,IW,,ASCENDING,A,"[VV, VH]",55.0,10.0,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20250721T225036_20250721T225105_060188_077AA3_A277,2025-07-21 22:50:36,S1A_IW_GRDH_1SDV_20250721T225036_20250721T225105_060188_077AA3_A277,IW,,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20250724T110650_20250724T110715_060225_077BF7_DF04,2025-07-24 11:06:50,S1A_IW_GRDH_1SDV_20250724T110650_20250724T110715_060225_077BF7_DF04,IW,,ASCENDING,A,"[VV, VH]",128.0,10.0,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20250802T225035_20250802T225105_060363_0780A7_D524,2025-08-02 22:50:35,S1A_IW_GRDH_1SDV_20250802T225035_20250802T225105_060363_0780A7_D524,IW,,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20250805T110649_20250805T110714_060400_0781F8_6B01,2025-08-05 11:06:49,S1A_IW_GRDH_1SDV_20250805T110649_20250805T110714_060400_0781F8_6B01,IW,,ASCENDING,A,"[VV, VH]",128.0,10.0,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20250805T110649_20250805T110714_060400_0781F8_9EC6,2025-08-05 11:06:49,S1A_IW_GRDH_1SDV_20250805T110649_20250805T110714_060400_0781F8_9EC6,IW,,ASCENDING,A,"[VV, VH]",128.0,10.0,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20250812T105824_20250812T105849_060502_0785E4_6084,2025-08-12 10:58:24,S1A_IW_GRDH_1SDV_20250812T105824_20250812T105849_060502_0785E4_6084,IW,,ASCENDING,A,"[VV, VH]",55.0,10.0,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
