image_id,timestamp,date_str,time_ms,orbit_direction,relative_orbit,sensor_mode,polarization,product_type,platform,geometry_type
S1A_IW_GRDH_1SDV_20190101T000000_ASCENDING,2019-01-01,2019-01-01,1546275600000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190102T000000_DESCENDING,2019-01-02,2019-01-02,1546362000000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190103T000000_ASCENDING,2019-01-03,2019-01-03,1546448400000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190104T000000_DESCENDING,2019-01-04,2019-01-04,1546534800000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190105T000000_ASCENDING,2019-01-05,2019-01-05,1546621200000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190106T000000_DESCENDING,2019-01-06,2019-01-06,1546707600000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190107T000000_ASCENDING,2019-01-07,2019-01-07,1546794000000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190108T000000_DESCENDING,2019-01-08,2019-01-08,1546880400000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190109T000000_ASCENDING,2019-01-09,2019-01-09,1546966800000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190110T000000_DESCENDING,2019-01-10,2019-01-10,1547053200000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190111T000000_ASCENDING,2019-01-11,2019-01-11,1547139600000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190112T000000_DESCENDING,2019-01-12,2019-01-12,1547226000000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190113T000000_ASCENDING,2019-01-13,2019-01-13,1547312400000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190114T000000_DESCENDING,2019-01-14,2019-01-14,1547398800000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190115T000000_ASCENDING,2019-01-15,2019-01-15,1547485200000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190116T000000_DESCENDING,2019-01-16,2019-01-16,1547571600000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190117T000000_ASCENDING,2019-01-17,2019-01-17,1547658000000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190118T000000_DESCENDING,2019-01-18,2019-01-18,1547744400000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190119T000000_ASCENDING,2019-01-19,2019-01-19,1547830800000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190120T000000_DESCENDING,2019-01-20,2019-01-20,1547917200000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190121T000000_ASCENDING,2019-01-21,2019-01-21,1548003600000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190122T000000_DESCENDING,2019-01-22,2019-01-22,1548090000000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190123T000000_ASCENDING,2019-01-23,2019-01-23,1548176400000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190124T000000_DESCENDING,2019-01-24,2019-01-24,1548262800000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190125T000000_ASCENDING,2019-01-25,2019-01-25,1548349200000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190126T000000_DESCENDING,2019-01-26,2019-01-26,1548435600000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190127T000000_ASCENDING,2019-01-27,2019-01-27,1548522000000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190128T000000_DESCENDING,2019-01-28,2019-01-28,1548608400000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190129T000000_ASCENDING,2019-01-29,2019-01-29,1548694800000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190130T000000_DESCENDING,2019-01-30,2019-01-30,1548781200000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190131T000000_ASCENDING,2019-01-31,2019-01-31,1548867600000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190201T000000_ASCENDING,2019-02-01,2019-02-01,1548954000000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190202T000000_DESCENDING,2019-02-02,2019-02-02,1549040400000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190203T000000_ASCENDING,2019-02-03,2019-02-03,1549126800000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190204T000000_DESCENDING,2019-02-04,2019-02-04,1549213200000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190205T000000_ASCENDING,2019-02-05,2019-02-05,1549299600000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190206T000000_DESCENDING,2019-02-06,2019-02-06,1549386000000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190207T000000_ASCENDING,2019-02-07,2019-02-07,1549472400000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190208T000000_DESCENDING,2019-02-08,2019-02-08,1549558800000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190209T000000_ASCENDING,2019-02-09,2019-02-09,1549645200000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190210T000000_DESCENDING,2019-02-10,2019-02-10,1549731600000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190211T000000_ASCENDING,2019-02-11,2019-02-11,1549818000000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190212T000000_DESCENDING,2019-02-12,2019-02-12,1549904400000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190213T000000_ASCENDING,2019-02-13,2019-02-13,1549990800000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190214T000000_DESCENDING,2019-02-14,2019-02-14,1550077200000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190215T000000_ASCENDING,2019-02-15,2019-02-15,1550163600000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190216T000000_DESCENDING,2019-02-16,2019-02-16,1550250000000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190217T000000_ASCENDING,2019-02-17,2019-02-17,1550336400000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190218T000000_DESCENDING,2019-02-18,2019-02-18,1550422800000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190219T000000_ASCENDING,2019-02-19,2019-02-19,1550509200000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190220T000000_DESCENDING,2019-02-20,2019-02-20,1550595600000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190221T000000_ASCENDING,2019-02-21,2019-02-21,1550682000000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190222T000000_DESCENDING,2019-02-22,2019-02-22,1550768400000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190223T000000_ASCENDING,2019-02-23,2019-02-23,1550854800000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190224T000000_DESCENDING,2019-02-24,2019-02-24,1550941200000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190225T000000_ASCENDING,2019-02-25,2019-02-25,1551027600000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190226T000000_DESCENDING,2019-02-26,2019-02-26,1551114000000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190227T000000_ASCENDING,2019-02-27,2019-02-27,1551200400000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190228T000000_DESCENDING,2019-02-28,2019-02-28,1551286800000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190301T000000_ASCENDING,2019-03-01,2019-03-01,1551373200000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190302T000000_DESCENDING,2019-03-02,2019-03-02,1551459600000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190303T000000_ASCENDING,2019-03-03,2019-03-03,1551546000000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190304T000000_DESCENDING,2019-03-04,2019-03-04,1551632400000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190305T000000_ASCENDING,2019-03-05,2019-03-05,1551718800000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190306T000000_DESCENDING,2019-03-06,2019-03-06,1551805200000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190307T000000_ASCENDING,2019-03-07,2019-03-07,1551891600000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190308T000000_DESCENDING,2019-03-08,2019-03-08,1551978000000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190309T000000_ASCENDING,2019-03-09,2019-03-09,1552064400000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190310T000000_DESCENDING,2019-03-10,2019-03-10,1552150800000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190311T000000_ASCENDING,2019-03-11,2019-03-11,1552237200000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190312T000000_DESCENDING,2019-03-12,2019-03-12,1552323600000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190313T000000_ASCENDING,2019-03-13,2019-03-13,1552410000000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190314T000000_DESCENDING,2019-03-14,2019-03-14,1552496400000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190315T000000_ASCENDING,2019-03-15,2019-03-15,1552582800000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190316T000000_DESCENDING,2019-03-16,2019-03-16,1552669200000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190317T000000_ASCENDING,2019-03-17,2019-03-17,1552755600000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190318T000000_DESCENDING,2019-03-18,2019-03-18,1552842000000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190319T000000_ASCENDING,2019-03-19,2019-03-19,1552928400000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190320T000000_DESCENDING,2019-03-20,2019-03-20,1553014800000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190321T000000_ASCENDING,2019-03-21,2019-03-21,1553101200000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190322T000000_DESCENDING,2019-03-22,2019-03-22,1553187600000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190323T000000_ASCENDING,2019-03-23,2019-03-23,1553274000000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190324T000000_DESCENDING,2019-03-24,2019-03-24,1553360400000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190325T000000_ASCENDING,2019-03-25,2019-03-25,1553446800000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190326T000000_DESCENDING,2019-03-26,2019-03-26,1553533200000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190327T000000_ASCENDING,2019-03-27,2019-03-27,1553619600000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190328T000000_DESCENDING,2019-03-28,2019-03-28,1553706000000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190329T000000_ASCENDING,2019-03-29,2019-03-29,1553792400000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190330T000000_DESCENDING,2019-03-30,2019-03-30,1553878800000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190331T000000_ASCENDING,2019-03-31,2019-03-31,1553965200000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190401T000000_ASCENDING,2019-04-01,2019-04-01,1554051600000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190402T000000_DESCENDING,2019-04-02,2019-04-02,1554138000000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190403T000000_ASCENDING,2019-04-03,2019-04-03,1554224400000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190404T000000_DESCENDING,2019-04-04,2019-04-04,1554310800000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190405T000000_ASCENDING,2019-04-05,2019-04-05,1554397200000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190406T000000_DESCENDING,2019-04-06,2019-04-06,1554483600000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190407T000000_ASCENDING,2019-04-07,2019-04-07,1554570000000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190408T000000_DESCENDING,2019-04-08,2019-04-08,1554656400000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190409T000000_ASCENDING,2019-04-09,2019-04-09,1554742800000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190410T000000_DESCENDING,2019-04-10,2019-04-10,1554829200000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1A_IW_GRDH_1SDV_20190411T000000_ASCENDING,2019-04-11,2019-04-11,1554915600000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1B_IW_GRDH_1SDV_20190412T000000_DESCENDING,2019-04-12,2019-04-12,1555002000000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
