image_id,timestamp,date_str,time_ms,orbit_direction,relative_orbit,sensor_mode,polarization,product_type,platform,geometry_type
S1A_IW_GRDH_1SDV_20190101T000000_ASCENDING,2019-01-01,2019-01-01,1546275600000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190103T000000_ASCENDING,2019-01-03,2019-01-03,1546448400000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190105T000000_ASCENDING,2019-01-05,2019-01-05,1546621200000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190107T000000_ASCENDING,2019-01-07,2019-01-07,1546794000000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190109T000000_ASCENDING,2019-01-09,2019-01-09,1546966800000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190111T000000_ASCENDING,2019-01-11,2019-01-11,1547139600000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190113T000000_ASCENDING,2019-01-13,2019-01-13,1547312400000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190115T000000_ASCENDING,2019-01-15,2019-01-15,1547485200000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190117T000000_ASCENDING,2019-01-17,2019-01-17,1547658000000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190119T000000_ASCENDING,2019-01-19,2019-01-19,1547830800000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190121T000000_ASCENDING,2019-01-21,2019-01-21,1548003600000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190123T000000_ASCENDING,2019-01-23,2019-01-23,1548176400000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190125T000000_ASCENDING,2019-01-25,2019-01-25,1548349200000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190127T000000_ASCENDING,2019-01-27,2019-01-27,1548522000000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190129T000000_ASCENDING,2019-01-29,2019-01-29,1548694800000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190131T000000_ASCENDING,2019-01-31,2019-01-31,1548867600000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190201T000000_ASCENDING,2019-02-01,2019-02-01,1548954000000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190203T000000_ASCENDING,2019-02-03,2019-02-03,1549126800000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190205T000000_ASCENDING,2019-02-05,2019-02-05,1549299600000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190207T000000_ASCENDING,2019-02-07,2019-02-07,1549472400000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190209T000000_ASCENDING,2019-02-09,2019-02-09,1549645200000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190211T000000_ASCENDING,2019-02-11,2019-02-11,1549818000000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190213T000000_ASCENDING,2019-02-13,2019-02-13,1549990800000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190215T000000_ASCENDING,2019-02-15,2019-02-15,1550163600000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190217T000000_ASCENDING,2019-02-17,2019-02-17,1550336400000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190219T000000_ASCENDING,2019-02-19,2019-02-19,1550509200000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190221T000000_ASCENDING,2019-02-21,2019-02-21,1550682000000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190223T000000_ASCENDING,2019-02-23,2019-02-23,1550854800000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190225T000000_ASCENDING,2019-02-25,2019-02-25,1551027600000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190227T000000_ASCENDING,2019-02-27,2019-02-27,1551200400000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190301T000000_ASCENDING,2019-03-01,2019-03-01,1551373200000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190303T000000_ASCENDING,2019-03-03,2019-03-03,1551546000000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190305T000000_ASCENDING,2019-03-05,2019-03-05,1551718800000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190307T000000_ASCENDING,2019-03-07,2019-03-07,1551891600000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190309T000000_ASCENDING,2019-03-09,2019-03-09,1552064400000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190311T000000_ASCENDING,2019-03-11,2019-03-11,1552237200000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190313T000000_ASCENDING,2019-03-13,2019-03-13,1552410000000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190315T000000_ASCENDING,2019-03-15,2019-03-15,1552582800000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190317T000000_ASCENDING,2019-03-17,2019-03-17,1552755600000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190319T000000_ASCENDING,2019-03-19,2019-03-19,1552928400000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190321T000000_ASCENDING,2019-03-21,2019-03-21,1553101200000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190323T000000_ASCENDING,2019-03-23,2019-03-23,1553274000000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190325T000000_ASCENDING,2019-03-25,2019-03-25,1553446800000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190327T000000_ASCENDING,2019-03-27,2019-03-27,1553619600000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190329T000000_ASCENDING,2019-03-29,2019-03-29,1553792400000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190331T000000_ASCENDING,2019-03-31,2019-03-31,1553965200000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190401T000000_ASCENDING,2019-04-01,2019-04-01,1554051600000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190403T000000_ASCENDING,2019-04-03,2019-04-03,1554224400000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190405T000000_ASCENDING,2019-04-05,2019-04-05,1554397200000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190407T000000_ASCENDING,2019-04-07,2019-04-07,1554570000000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190409T000000_ASCENDING,2019-04-09,2019-04-09,1554742800000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190411T000000_ASCENDING,2019-04-11,2019-04-11,1554915600000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190413T000000_ASCENDING,2019-04-13,2019-04-13,1555088400000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190415T000000_ASCENDING,2019-04-15,2019-04-15,1555261200000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190417T000000_ASCENDING,2019-04-17,2019-04-17,1555434000000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190419T000000_ASCENDING,2019-04-19,2019-04-19,1555606800000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190421T000000_ASCENDING,2019-04-21,2019-04-21,1555779600000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190423T000000_ASCENDING,2019-04-23,2019-04-23,1555952400000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190425T000000_ASCENDING,2019-04-25,2019-04-25,1556125200000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190427T000000_ASCENDING,2019-04-27,2019-04-27,1556298000000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190429T000000_ASCENDING,2019-04-29,2019-04-29,1556470800000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190501T000000_ASCENDING,2019-05-01,2019-05-01,1556643600000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190503T000000_ASCENDING,2019-05-03,2019-05-03,1556816400000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190505T000000_ASCENDING,2019-05-05,2019-05-05,1556989200000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190507T000000_ASCENDING,2019-05-07,2019-05-07,1557162000000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190509T000000_ASCENDING,2019-05-09,2019-05-09,1557334800000,ASCENDING,26,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190511T000000_ASCENDING,2019-05-11,2019-05-11,1557507600000,ASCENDING,24,IW,"['VV', 'VH']",GRD,1A,Polygon
S1A_IW_GRDH_1SDV_20190513T000000_ASCENDING,2019-05-13,2019-05-13,1557680400000,ASCENDING,25,IW,"['VV', 'VH']",GRD,1A,Polygon
