image_id,timestamp,date_str,time_ms,orbit_direction,relative_orbit,sensor_mode,polarization,product_type,platform,geometry_type
S1B_IW_GRDH_1SDV_20190102T000000_DESCENDING,2019-01-02,2019-01-02,1546362000000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190104T000000_DESCENDING,2019-01-04,2019-01-04,1546534800000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190106T000000_DESCENDING,2019-01-06,2019-01-06,1546707600000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190108T000000_DESCENDING,2019-01-08,2019-01-08,1546880400000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190110T000000_DESCENDING,2019-01-10,2019-01-10,1547053200000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190112T000000_DESCENDING,2019-01-12,2019-01-12,1547226000000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190114T000000_DESCENDING,2019-01-14,2019-01-14,1547398800000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190116T000000_DESCENDING,2019-01-16,2019-01-16,1547571600000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190118T000000_DESCENDING,2019-01-18,2019-01-18,1547744400000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190120T000000_DESCENDING,2019-01-20,2019-01-20,1547917200000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190122T000000_DESCENDING,2019-01-22,2019-01-22,1548090000000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190124T000000_DESCENDING,2019-01-24,2019-01-24,1548262800000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190126T000000_DESCENDING,2019-01-26,2019-01-26,1548435600000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190128T000000_DESCENDING,2019-01-28,2019-01-28,1548608400000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190130T000000_DESCENDING,2019-01-30,2019-01-30,1548781200000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190202T000000_DESCENDING,2019-02-02,2019-02-02,1549040400000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190204T000000_DESCENDING,2019-02-04,2019-02-04,1549213200000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190206T000000_DESCENDING,2019-02-06,2019-02-06,1549386000000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190208T000000_DESCENDING,2019-02-08,2019-02-08,1549558800000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190210T000000_DESCENDING,2019-02-10,2019-02-10,1549731600000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190212T000000_DESCENDING,2019-02-12,2019-02-12,1549904400000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190214T000000_DESCENDING,2019-02-14,2019-02-14,1550077200000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190216T000000_DESCENDING,2019-02-16,2019-02-16,1550250000000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190218T000000_DESCENDING,2019-02-18,2019-02-18,1550422800000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190220T000000_DESCENDING,2019-02-20,2019-02-20,1550595600000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190222T000000_DESCENDING,2019-02-22,2019-02-22,1550768400000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190224T000000_DESCENDING,2019-02-24,2019-02-24,1550941200000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190226T000000_DESCENDING,2019-02-26,2019-02-26,1551114000000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190228T000000_DESCENDING,2019-02-28,2019-02-28,1551286800000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190302T000000_DESCENDING,2019-03-02,2019-03-02,1551459600000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190304T000000_DESCENDING,2019-03-04,2019-03-04,1551632400000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190306T000000_DESCENDING,2019-03-06,2019-03-06,1551805200000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190308T000000_DESCENDING,2019-03-08,2019-03-08,1551978000000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190310T000000_DESCENDING,2019-03-10,2019-03-10,1552150800000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190312T000000_DESCENDING,2019-03-12,2019-03-12,1552323600000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190314T000000_DESCENDING,2019-03-14,2019-03-14,1552496400000,DESCENDING,132,IW,"['VV', 'VH']",GRD,1B,Polygon
S1B_IW_GRDH_1SDV_20190316T000000_DESCENDING,2019-03-16,2019-03-16,1552669200000,DESCENDING,131,IW,"['VV', 'VH']",GRD,1B,Polygon
